episode_num, season_num, season_episode_num, rating
01,01,01,90
02,01,02,86
03,01,03,87
04,01,04,82
05,01,05,83
06,01,06,93
07,01,07,88
08,02,01,86
09,02,02,93
10,02,03,83
11,02,04,82
12,02,05,83
13,02,06,88
14,02,07,86
15,02,08,92
16,02,09,91
17,02,10,84
18,02,11,89
19,02,12,93
20,02,13,92
21,03,01,85
22,03,02,86
23,03,03,84
24,03,04,82
25,03,05,85
26,03,06,93
27,03,07,96
28,03,08,87
29,03,09,84
30,03,10,79
31,03,11,84
32,03,12,95
33,03,13,97
34,04,01,92
35,04,02,82
36,04,03,80
37,04,04,86
38,04,05,86
39,04,06,84
40,04,07,88
41,04,08,93
42,04,09,88
43,04,10,96
44,04,11,97
45,04,12,95
46,04,13,99
47,05,01,92
48,05,02,88
49,05,03,88
50,05,04,88
51,05,05,97
52,05,06,90
53,05,07,96
54,05,08,96
55,05,09,94
56,05,10,92
57,05,11,96
58,05,12,91
59,05,13,98
60,05,14,100
61,05,15,97
62,05,16,99